INSTANCE_ID,IMAGE_ID,INSTANCE_TYPE,INSTANCE_LUNCH_TIME,AVAILABILITY_ZONE
i-06879df289fdd56b2,ami-01eccbf80522b562b,t2.micro,2024-03-17 21:40:33+00:00,us-east-1c
i-0dabd6c32e188ced1,ami-01eccbf80522b562b,t2.micro,2024-03-17 21:40:33+00:00,us-east-1c
